strike,maturity_days,moneyness,w,price
1120.2433,300,0.875,put,60.17910561277623
1152.2503,300,0.9,put,68.47862435136896
1184.2572,300,0.925,put,77.69444493493872
1216.2642,300,0.95,put,87.92209049284907
1248.2711,300,0.975,put,99.2745745268503
1280.2781,300,1.0,call,91.78620999202262
1312.2851,300,1.025,call,73.86244130114854
1344.292,300,1.05,call,57.57115621635903
1376.299,300,1.075,call,43.156729828502904
1408.3059,300,1.1,call,30.88846102994091
1440.3129,300,1.125,call,21.00410009767141
1472.3198,300,1.15,call,13.59205657994603
1504.3268,300,1.175,call,8.462834048929407
1536.3337,300,1.2,call,5.1556642297445965
1568.3407,300,1.225,call,3.1195738465173974
960.2086,310,0.75,put,31.23755326547544
992.2155,310,0.775,put,36.132246058088406
1024.2225,310,0.8,put,41.60911935550182
1056.2294,310,0.825,put,47.72041331457793
1088.2364,310,0.85,put,54.523248766610266
1120.2433,310,0.875,put,62.08074732945814
1152.2503,310,0.9,put,70.46359979176486
1184.2572,310,0.925,put,79.75226591259432
1216.2642,310,0.95,put,90.04003886916725
1248.2711,310,0.975,put,101.43723341622143
1280.2781,310,1.0,call,93.31095291790731
1312.2851,310,1.025,call,75.3905784953064
1344.292,310,1.05,call,59.072102675667814
1376.299,310,1.075,call,44.59078717645777
1408.3059,310,1.1,call,32.205858399120615
1440.3129,310,1.125,call,22.14979713873164
1472.3198,310,1.15,call,14.521721980720818
1504.3268,310,1.175,call,9.164587039747516
1536.3337,310,1.2,call,5.655512150521978
1568.3407,310,1.225,call,3.463266946489712
960.2086,320,0.75,put,32.62816238217808
992.2155,320,0.775,put,37.62920697863866
1024.2225,320,0.8,put,43.21037650934231
1056.2294,320,0.825,put,49.42254170058551
1088.2364,320,0.85,put,56.321361864107466
1120.2433,320,0.875,put,63.96839962745049
1152.2503,320,0.9,put,72.43266848386376
1184.2572,320,0.925,put,81.79278126480092
1216.2642,320,0.95,put,92.13990859725428
1248.2711,320,0.975,put,103.58177149979284
1280.2781,320,1.0,call,94.81879043216728
1312.2851,320,1.025,call,76.90363475132402
1344.292,320,1.05,call,60.56108605538638
1376.299,320,1.075,call,46.017713014548
1408.3059,320,1.1,call,33.52308184990649
1440.3129,320,1.125,call,23.304125198219033
1472.3198,320,1.15,call,15.468613594629655
1504.3268,320,1.175,call,9.888657547833876
1536.3337,320,1.2,call,6.177931748800471
1568.3407,320,1.225,call,3.8266234855850185
960.2086,330,0.75,put,34.017874659977856
992.2155,330,0.775,put,39.122629106147144
1024.2225,330,0.8,put,44.805440783247306
1056.2294,330,0.825,put,51.115899285006655
1088.2364,330,0.85,put,58.10829822906722
1120.2433,330,0.875,put,65.84274176411986
1152.2503,330,0.9,put,74.38666768822954
1184.2572,330,0.925,put,83.81694100997565
1216.2642,330,0.95,put,94.22270481533887
1248.2711,330,0.975,put,105.70918152588627
1280.2781,330,1.0,call,96.31062817433026
1312.2851,330,1.025,call,78.40234830076072
1344.292,330,1.05,call,62.03858625710842
1376.299,330,1.075,call,47.437619138141926
